author_name,author_id
EntianK.-D.,311
KastisG.A.,312
KyriakopoulouD.,313
GaitanisA.,314
FernándezY.,315
HuttonB.F.,316
FokasA.S.,317
BalkoJ.M.,318
GiltnaneJ.M.,319
WangK.,320
SchwarzL.J.,321
YoungC.D.,322
CookR.S.,323
OwensP.,324
SandersM.E.,325
KubaM.G.,326
SánchezV.,327
KurupiR.,328
MooreP.D.,329
PintoJ.A.,330
DoimiF.D.,331
GómezH.,332
HoriuchiD.,333
GogaA.,334
LehmannB.D.,335
BauerJ.A.,336
PietenpolJ.A.,337
RossJ.S.,338
PalmerG.A.,339
YelenskyR.,340
CroninM.,341
MillerV.A.,342
StephensP.J.,343
ArteagaC.L.,344
KoyanoY.,345
NakagamiG.,346
IizakaS.,347
MinematsuT.,348
NoguchiH.,349
TamaiN.,350
MugitaY.,351
KitamuraA.,352
TabataK.,353
AbeM.,354
MurayamaR.,355
SugamaJ.,356
SanadaH.,357
KeltyC.,358
PanofskyA.,359
BarbeauB.,360
HiscottJ.,361
BazarbachiA.,362
CarvalhoE.,363
JonesK.,364
MartinF.,365
MatsuokaM.,366
MurphyE.L.,367
RatnerL.,368
SwitzerW.M.,369
WatanabeT.,370
McLaughlinN.,371
Afsar-ManeshN.,372
RaglandV.,373
BuxeyF.,374
MartinN.A.,375
Nikolaishvilli-FeinbergN.,376
CohenS.M.,377
MidkiffB.,378
ZhouY.,379
OlorvidaM.,380
IbrahimJ.G.,381
OmoloB.,382
ShieldsJ.M.,383
ThomasN.E.,384
GrobenP.A.,385
KaufmannW.K.,386
MillerC.R.,387
FengD.,388
LiangD.,389
TierneyL.,390
MurrayP.R.,391
ThomsonS.L.,392
SmithM.E.,393
PyneJ.D.,394
GenoveseK.,395
CasalettoL.,396
GeestJ.P.V.,397
SunX.,398
YuX.,399
LiuJ.,400
ZhangH.,401
ZhouF.,402
XieB.,403
LiS.,404
BongersG.,405
PacerM.E.,406
GeraldinoT.H.,407
ChenL.,408
HeZ.,409
HashimotoD.,410
FurtadoG.C.,411
OchandoJ.,412
KelleyK.A.,413
ClementeJ.C.,414
MeradM.,415
VanBakelH.,416
LiraS.A.,417
MartisR.J.,418
AcharyaU.R.,419
AdeliH.,420
DakinS.G.,421
DudhiaJ.,422
SmithR.K.W.,423
SchutA.G.T.,424
Wardell-JohnsonG.W.,425
YatesC.J.,426
KeppelG.,427
BaranI.,428
FranklinS.E.,429
HopperS.D.,430
VanNielK.P.,431
MucinaL.,432
ByrneM.,433
Garcia-TorresL.,434
Caballero-NovellaJ.J.,435
Goḿez-CandónD.,436
De-CastroA.I.,437
YanL.,438
GuY.-H.,439
TaoX.,440
LaiX.-J.,441
ZhangY.-Z.,442
TanX.-M.,443
WangH.,444
LuoM.-X.,445
ChenX.-B.,446
YangY.-X.,447
WangX.,448
BrasseyC.A.,449
SellersW.I.,450
TrabucoM.H.,451
CostaM.V.C.,452
DeOliveiraNascimentoF.A.,453
ZhongD.,454
GuJ.,455
TongD.,456
FonjiS.F.,457
TaffG.N.,458
SarafP.A.,459
KamatS.,460
PuranikR.S.,461
PuranikS.,462
SarafS.P.,463
SinghB.P.,464
ThooyamaniK.P.,465
KhanaaV.,466
UdayakumarR.,467
Rivilla-GarcíaJ.,468
SilleroM.,469
GrandeI.,470
SampedroJ.,471
GómezM.A.,472
LiouY.-R.,473
TorngW.,474
KaoY.-C.,475
SungK.-B.,476
LeeC.-H.,477
KuoP.-L.,478
GhelfiP.,479
LaghezzaF.,480
ScottiF.,481
SerafinoG.,482
CapriaA.,483
PinnaS.,484
OnoriD.,485
PorziC.,486
ScaffardiM.,487
MalacarneA.,488
VercesiV.,489
LazzeriE.,490
BerizziF.,491
BogoniA.,492
HuangW.-T.,493
LinC.-W.,494
SakuraiT.,495
NamikiS.,496
KanzakiR.,497
HafenE.,498
KossmannD.,499
BrandA.,500
BronsnickT.,501
KaziN.,502
KirkorianA.Y.,503
RaoB.K.,504
GouldF.D.H.,505
NoronhaK.P.,506
NayakK.P.,507
BhandaryS.V.,508
CaiC.,509
LiP.,510
GuoJ.,511
TangZ.,512
YanB.,513
LiL.,514
BaoS.,515
PathakP.,516
SelvakumarS.,517
SakamotoR.,518
MoriS.,519
MillerM.I.,520
OkadaT.,521
TogashiK.,522
HuhS.,523
MercerD.,524
ParkinsonD.,525
SalinetJ.L.,526
TuanJ.H.,527
SandilandsA.J.,528
StaffordP.J.,529
SchlindweinF.S.,530
AndréNgG.,531
CannonT.D.,532
SunF.,533
McewenS.J.,534
PapademetrisX.,535
HeG.,536
vanErpT.G.M.,537
JacobsonA.,538
BeardenC.E.,539
WalkerE.,540
HuX.,541
ZhouL.,542
SeidmanL.J.,543
ThermenosH.W.,544
CornblattB.,545
OlvetD.M.,546
PerkinsD.,547
BelgerA.,548
CadenheadK.,549
TsuangM.,550
MirzakhanianH.,551
AddingtonJ.,552
FrayneR.,553
WoodsS.W.,554
McglashanT.H.,555
ConstableR.T.,556
QiuM.,557
MathalonD.H.,558
ThompsonP.,559
TogaA.W.,560
McLaughlinR.L.,561
NewittD.C.,562
WilmesL.J.,563
JonesE.F.,564
WisnerD.J.,565
KornakJ.,566
ProctorE.,567
JoeB.N.,568
HyltonN.M.,569
SrivastavaS.K.,570
AroraS.,571
SinghS.,572
BhardwajA.,573
AverettC.,574
SinghA.P.,575
AbdEl-RahmanN.M.,576
BorikR.M.,577
RuhoyS.M.,578
GuineeD.G.,579
NuovoG.,580
FukazawaE.M.,581
BaiocchiG.,582
SoaresF.A.,583
KumagaiL.Y.,584
FaloppaC.C.,585
Badiglian-FilhoL.,586
CoelhoF.R.G.,587
GonçalvesW.J.,588
CostaR.L.R.,589
GóesJ.C.S.,590
RichardsonA.,591
GanzO.,592
StalgaitisC.,593
AbramsD.,594
ValloneD.,595
WolfS.A.,596
KingsleyT.,597
TancockS.,598
ChenZ.,599
ShinD.,600
ChenS.,601
MikhailK.,602
HadassO.,603
TomlisonB.N.,604
KorkinD.,605
ShyuC.-R.,606
CuiJ.,607
AnthonyD.C.,608
GuZ.,609
SimK.S.,610
ChiaF.K.,611
NiaM.E.,612
TsoC.P.,613
ChongA.K.,614
AbbasS.F.,615
ChongS.S.,616
NilssonM.F.,617
WebsterW.S.,618
PerrotY.,619
DegoulF.,620
AuzelouxP.,621
BonnetM.,622
CachinF.,623
ChezalJ.M.,624
DonnarieixD.,625
LabarreP.,626
MoinsN.,627
PaponJ.,628
Rbah-VidalL.,629
VidalA.,630
Miot-NoiraultE.,631
MaigneL.,632
JonesL.A.,633
SmithA.M.,634
HedbergY.S.,635
QianB.,636
ShenZ.,637
VirtanenS.,638
OdnevallWallinderI.,639
KardynalA.,640
OlszewskaM.,641
HaymonL.,642
SimiE.,643
MoyerK.,644
AufoxS.,645
OuyangD.W.,646
TangR.Y.,647
LaamanenC.,648
McDonaldN.,649
LeclairR.J.,650
KolA.,651
TerwisschaVanScheltingaA.G.T.,652
Timmer-BosschaH.,653
LambertsL.E.,654
BenschF.,655
DeVriesE.G.E.,656
SchröderC.P.,657
NovO.,658
ArazyO.,659
AndersonD.,660
SarkarU.,661
LylesC.R.,662
ParkerM.M.,663
AllenJ.,664
NguyenR.,665
MoffetH.H.,666
SchillingerD.,667
KarterA.J.,668
LandiniG.,669
MylonasP.,670
ShahI.Z.,671
HamburgerJ.,672
MaJ.,673
ChenJ.,674
MingD.,675
TianJ.,676
FoliK.J.,677
BraswellM.,678
KirkpatrickJ.,679
LimE.,680
ChangY.-C.,681
HuangY.-H.,682
HuangC.-S.,683
ChenJ.-H.,684
ChangR.-F.,685
SteinE.M.,686
KepleyA.,687
WalkerM.,688
NickolasT.L.,689
NishiyamaK.,690
LiuX.S.,691
McMahonD.J.,692
ZhangC.,693
BoutroyS.,694
CosmanF.,695
NievesJ.,696
GuoX.E.,697
ShaneE.,698
SpyridonosP.,699
GaitanisG.,700
TzaphlidouM.,701
BassukasI.D.,702
MeyerA.F.,703
DiepenbrockJ.-P.,704
HappelM.F.K.,705
OhlF.W.,706
AnemüllerJ.,707
ConnellyK.,708
UrRehmanLaghariK.,709
MokhtariM.,710
FalkT.H.,711
KennedyA.E.,712
DickinsonA.J.,713
StrickerT.P.,714
MoralesLaMadridA.,715
ChlenskiA.,716
GuerreroL.,717
SalwenH.R.,718
GosiengfiaoY.,719
PerlmanE.J.,720
FurmanW.,721
BahramiA.,722
ShohetJ.M.,723
ZageP.E.,724
HicksM.J.,725
ShimadaH.,726
SuganumaR.,727
ParkJ.R.,728
SoS.,729
LondonW.B.,730
PytelP.,731
MacleanK.H.,732
CohnS.L.,733
WeizmanL.,734
SiraL.B.,735
JoskowiczL.,736
RubinD.L.,737
YeomK.W.,738
ConstantiniS.,739
ShoftyB.,740
BashatD.B.,741
PourA.B.,742
HashimM.,743
KristensenV.N.,744
LingjærdeO.C.,745
RussnesH.G.,746
VollanH.K.M.,747
FrigessiA.,748
Børresen-DaleA.-L.,749
BurtC.H.,750
SimonsR.L.,751
DeBellisF.,752
CarafaV.,753
ConteM.,754
RotiliD.,755
PetragliaF.,756
MatareseF.,757
FrançoijsK.-J.,758
AblainJ.,759
ValenteS.,760
CastellanoR.,761
GoubardA.,762
ColletteY.,763
MandoliA.,764
MartensJ.H.A.,765
DeThéH.,766
NebbiosoA.,767
MaiA.,768
StunnenbergH.G.,769
AltucciL.,770
OzdoganM.,771
YasakaR.,772
NguyenH.D.,773
HoS.Y.W.,774
DuchêneS.,775
KorkmazS.,776
KatisN.,777
TakahashiH.,778
GibbsA.J.,779
OhshimaK.,780
SmolinskaA.,781
HauschildA.-Ch.,782
FijtenR.R.R.,783
DallingaJ.W.,784
BaumbachJ.,785
VanSchootenF.J.,786
Abd-AllahF.,787
HeshmatKassemH.,788
HashadA.,789
ShamloulR.M.,790
ZakiA.,791
MessaoudiK.,792
ToumiS.,793
BourennaneE.-B.,794
TouizaM.,795
SunJ.,796
LiC.,797
RenY.,798
FinleyB.J.,799
KilkkiK.,800
KazemiS.,801
GhorbaniA.,802
AmindavarH.,803
RaoK.,804
OkM.W.,805
