pmid,authors
2-s2.0-85019405991,"['Creigh P.D.', ' McDermott M.P.', ' Sowden J.E.', ' Ferguson M.', ' Herrmann D.N.']"
2-s2.0-85019438868,"['Anglesio M.S.', ' Papadopoulos N.', ' Ayhan A.', ' Nazeran T.M.', ' Noë M.', ' Horlings H.M.', ' Lum A.', ' Jones S.', ' Senz J.', ' Seckin T.', ' Ho J.', ' Wu R.-C.', ' Lac V.', ' Ogawa H.', ' Tessier-Cloutier B.', ' Alhassan R.', ' Wang A.', ' Wang Y.', ' Cohen J.D.', ' Wong F.', ' Hasanovic A.', ' Orr N.', ' Zhang M.', ' Popoli M.', ' McMahon W.', ' Wood L.D.', ' Mattox A.', ' Allaire C.', ' Segars J.', ' Williams C.', ' Tomasetti C.', ' Boyd N.', ' Kinzler K.W.', ' Gilks C.B.', ' Diaz L.', ' Wang T.-L.', ' Vogelstein B.', ' Yong P.J.', ' Huntsman D.G.', ' Shih I.-M.']"
2-s2.0-85019454648,"['Hakimi O.', ' Ternette N.', ' Murphy R.', ' Kessler B.M.', ' Carr A.']"
2-s2.0-85019470877,"['Oderanti F.O.', ' Li F.']"
2-s2.0-85019538987,"['Ortutay C.', ' Ortutay Z.']"
2-s2.0-85019552167,"['Ujiie H.', ' Kato T.', ' Lee D.', ' Hu H.-P.', ' Fujino K.', ' Kaji M.', ' Kaga K.', ' Matsui Y.', ' Yasufuku K.']"
2-s2.0-85019555017,"['Witzel T.C.', ' Weatherburn P.', ' Rodger A.J.', ' Bourne A.H.', ' Burns F.M.']"
2-s2.0-85019559568,"['Cîmpeanu R.A.', ' Popescu D.-M.', ' Burada F.', ' Cucu M.G.', ' Gheonea D.I.', ' Ioana M.', ' Rogoveanu I.']"
2-s2.0-85019568570,"['Hamza T.A.', ' Sherif R.M.']"
2-s2.0-85019573730,['Evans S.']
2-s2.0-85019589386,"['Fu A.', ' Shi X.', ' Zhang H.', ' Fu B.']"
2-s2.0-85019607544,"['Gude W.T.', ' Roos-Blom M.-J.', ' van der Veer S.N.', ' de Jonge E.', ' Peek N.', ' Dongelmans D.A.', ' de Keizer N.F.']"
2-s2.0-85019608569,"['Szolomayer L.K.', ' Talusan P.G.', ' Chan W.F.', ' Lindskog D.M.']"
2-s2.0-85019616900,"['Kendal S.E.', ' Milnes L.', ' Welsby H.', ' Pryjmachuk S.', "" Co-Researchers' Group"", ' Shafeeah C.', ' Annaruth D.', ' Charlie D.', ' Marie P.', ' Roshini R.', ' Rida S.', ' Joy W.']"
2-s2.0-85019625476,"['Xiong H.', ' Sultan L.R.', ' Cary T.W.', ' Schultz S.M.', ' Bouzghar G.', ' Sehgal C.M.']"
2-s2.0-85019625636,"['Hassen K.', ' Gizaw G.', ' Belachew T.']"
2-s2.0-85019639030,"['Nakai Y.', ' Jeong J.-W.', ' Brown E.C.', ' Rothermel R.', ' Kojima K.', ' Kambara T.', ' Shah A.', ' Mittal S.', ' Sood S.', ' Asano E.']"
2-s2.0-85019642725,"['Saito H.', ' Fushida S.', ' Harada S.', ' Miyashita T.', ' Oyama K.', ' Yamaguchi T.', ' Tsukada T.', ' Kinoshita J.', ' Tajima H.', ' Ninomiya I.', ' Ohta T.']"
2-s2.0-85019653210,"['Chang N.-Y.N.', ' Jew J.', ' Simon J.C.', ' Chan K.H.', ' Lee R.C.', ' Fried W.A.', ' Cho J.', ' Darling C.L.', ' Fried D.']"
2-s2.0-85019654377,"['Gartner D.', ' Zhang Y.', ' Padman R.']"
2-s2.0-85019658505,"['Pena Y.', ' Correal D.', ' Miranda E.']"
2-s2.0-85019660145,"['Sisman Y.', ' Sisman A.']"
2-s2.0-85019663908,"['Schwarzhans J.-P.', ' Luttermann T.', ' Wibberg D.', ' Winkler A.', ' Hübner W.', ' Huser T.', ' Kalinowski J.', ' Friehs K.']"
2-s2.0-85019668137,"['Oikawa J.', ' Niwano S.', ' Fukaya H.', ' Nakamura H.', ' Igarashi T.', ' Fujiishi T.', ' Ishizue N.', ' Yoshizawa T.', ' Satoh A.', ' Kishihara J.', ' Murakami M.', ' Ako J.']"
2-s2.0-85019676124,['Martin L.']
2-s2.0-85019680690,"['Huang X.', ' Li Q.', ' Yang N.']"
2-s2.0-85019682121,"['Davison J.R.', ' Lohith K.M.', ' Wang X.', ' Bobyk K.', ' Mandadapu S.R.', ' Lee S.-L.', ' Cencic R.', ' Nelson J.', ' Simpkins S.', ' Frank K.M.', ' Pelletier J.', ' Myers C.L.', ' Piotrowski J.', ' Smith H.E.', ' Bewley C.A.']"
2-s2.0-85019683815,"['Lutz N.W.', ' Bernard M.']"
2-s2.0-85019685309,['Hagen S.J.']
2-s2.0-85019687306,"['Caracuta V.', ' Vardi J.', ' Paz Y.', ' Boaretto E.']"
2-s2.0-85019696275,['Liu S.']
2-s2.0-85019703041,"['Zhang R.', ' Shen J.', ' Wei F.', ' Li X.', ' Sangaiah A.K.']"
2-s2.0-85019718754,"['Beltrán-Heredia E.', ' Almendro-Vedia V.G.', ' Monroy F.', ' Cao F.J.']"
2-s2.0-85019736315,"['Sleightholm R.L.', ' Neilsen B.K.', ' Li J.', ' Steele M.M.', ' Singh R.K.', ' Hollingsworth M.A.', ' Oupicky D.']"
2-s2.0-85019758549,"['Li R.', ' Frasch M.G.', ' Wu H.-T.']"
2-s2.0-85019762778,"['Roopa Chandrika R.', ' Karthikeyan N.', ' Karthik S.']"
2-s2.0-85019763398,"['Al-Hamdany A.K.', ' Al-Khatib A.R.', ' Al-Sadi H.I.']"
2-s2.0-85019807102,['Yamaguchi M.']
2-s2.0-85019823720,['Magome T.']
2-s2.0-85019826668,['Nakayama R.']
2-s2.0-85019854108,"['Engelmann C.', ' Ametowobla D.']"
2-s2.0-85019860551,"['Arnst J.L.', ' Hein A.L.', ' Taylor M.A.', ' Palermo N.Y.', ' Contreras J.I.', ' Sonawane Y.A.', ' Wahl A.O.', ' Ouellette M.M.', ' Natarajan A.', ' Yan Y.']"
2-s2.0-85019860681,"['Jeon Y.K.', ' Yoon S.O.', ' Paik J.H.', ' Kim Y.A.', ' Shin B.K.', ' Kim H.-J.', ' Cha H.J.', ' Kim J.E.', ' Huh J.', ' Ko Y.-H.', ' The Hematopathology Study Group of the Korean Society of Pathologists', ' The Molecular Pathology Study Group of Korean Society of Pathologists']"
2-s2.0-85019867982,"['Porro L.B.', ' Richards C.T.']"
2-s2.0-85019869841,"['Du C.X.', ' Van Anders G.', ' Newman R.S.', ' Glotzer S.C.']"
2-s2.0-85019874484,"['Lynch J.J.', ' Byrd J.', ' LeGarde C.B.']"
2-s2.0-85019894975,"['Trovato M.', ' Campennì A.', ' Giovinazzo S.', ' Siracusa M.', ' Ruggeri R.M.']"
2-s2.0-85019897139,"['Arav A.', ' Friedman O.', ' Natan Y.', ' Gur E.', ' Shani N.']"
2-s2.0-85019899209,"['Jiang M.', ' Bennani N.N.', ' Feldman A.L.']"
2-s2.0-85019930189,"['Rangasamy V.', ' Subramaniam S.']"
2-s2.0-85019931311,"['Kumar R.', ' Srivastava S.', ' Srivastava R.']"
2-s2.0-85019932507,"['Shen J.', ' Li X.', ' Li Y.', ' Wu B.']"
2-s2.0-85019933220,"['Li J.', ' Luo B.', ' Yang D.', ' Yin L.', ' Wu G.', ' Guo H.']"
2-s2.0-85019940902,"['Jiang X.-H.', ' Xie Y.-T.', ' Cai Y.-P.', ' Ren J.', ' Ma T.']"
2-s2.0-85019949990,"['Majunke N.', ' Eplinius F.', ' Gutberlet M.', ' Moebius-Winkler S.', ' Daehnert I.', ' Grothoff M.', ' Schürer S.', ' Mangner N.', ' Lurz P.', ' Erbs S.', ' Kirsch K.', ' Schuler G.', ' Sandri M.']"
2-s2.0-85019953931,"['Segrelles Quilis J.D.', ' Medina R.', ' Blanquer I.', ' Martí-Bonmatí L.']"
2-s2.0-85019957011,"['Naik D.N.', ' Saad N.A.', ' Rao D.N.', ' Viswanathan N.K.']"
2-s2.0-85019969749,"['Shaikh A.T.', ' Ferland L.', ' Hood-Cree R.', ' Shaffer L.', ' McNabb S.J.N.']"
2-s2.0-85019973260,"['Enzinger E.', ' Morrison G.S.']"
2-s2.0-85019974789,"['Hata N.', ' Hatae R.', ' Yoshimoto K.', ' Murata H.', ' Kuga D.', ' Akagi Y.', ' Sangatsuda Y.', ' Suzuki S.O.', ' Iwaki T.', ' Mizoguchi M.', ' Iihara K.']"
2-s2.0-85019979330,['Tsai C.-Y.']
2-s2.0-85019980843,"['Yilmaz E.', ' Kayikcioglu T.', ' Kayipmaz S.']"
2-s2.0-85019987594,"['Lang Z.', ' Wang Y.', ' Tang K.', ' Tang D.', ' Datsenka T.', ' Cheng J.', ' Zhang Y.', ' Handa A.K.', ' Zhu J.-K.']"
2-s2.0-85019989548,"['Chen P.-H.', ' Yao H.', ' Huang L.J.-S.']"
2-s2.0-85020001065,['Suárez R.']
2-s2.0-85020003954,"['Tang J.', ' Wang X.', ' Gao X.', ' Paul Segars W.', ' Lodge M.A.', ' Rahmim A.']"
2-s2.0-85020009131,['Egorov V.V.']
2-s2.0-85020012604,"['Luo Z.', ' Sun L.', ' Liu D.', ' Liu J.']"
2-s2.0-85020013905,"['Sharma A.', ' Kapur R.K.']"
2-s2.0-85020024467,"['Girija R.', ' Kumar P.', ' Meenakumari']"
2-s2.0-85020026370,"['Zhang S.-R.', ' Chang M.-J.', ' Chaung Y.-J.', ' Yu S.-S.']"
2-s2.0-85020032365,"['Wu L.', ' Chang L.', ' Wang H.', ' Ma W.', ' Peng Q.', ' Yuan Y.']"
2-s2.0-85020033356,"['Zhou R.-G.', ' Hu W.', ' Fan P.', ' Ian H.']"
2-s2.0-85020068579,"['Guitton C.', ' Bouin T.', ' Oriot D.']"
2-s2.0-85020086467,"[""O'Connor M."", "" O'Brien K."", ' Waller J.', ' Gallagher P.', "" D'Arcy T."", ' Flannelly G.', ' Martin C.M.', ' McRae J.', ' Prendiville W.', ' Ruttle C.', ' White C.', ' Pilkington L.', "" O'Leary J.J."", ' Sharp L.', ' the Irish Cervical Screening Research Consortium (CERVIVA)']"
2-s2.0-85020096565,"['Kamalian S.', ' Lev M.H.', ' Pomerantz S.R.']"
2-s2.0-85020105095,"['Kodet O.', ' Krajsová I.']"
2-s2.0-85020120485,['Hale K.L.']
2-s2.0-85020130656,"['Miller R.E.', ' Ishihara S.', ' Bhattacharyya B.', ' Delaney A.', ' Menichella D.M.', ' Miller R.J.', ' Malfait A.-M.']"
2-s2.0-85020162159,['Holmes A.']
2-s2.0-85020164661,"['Yu Z.-X.', ' Lu M.-F.', ' Zhang F.', ' Jin X.-W.']"
2-s2.0-85020165177,"['Yuan L.', ' Yu Q.', ' Shen C.', ' Hu W.', ' Zhitong Y.']"
2-s2.0-85020166475,"['Salama A.S.', ' Mokhtar M.A.']"
2-s2.0-85020174388,"['Yip B.H.', ' Steeples V.', ' Repapi E.', ' Armstrong R.N.', ' Llorian M.', ' Roy S.', ' Shaw J.', ' Dolatshad H.', ' Taylor S.', ' Verma A.', ' Bartenstein M.', ' Vyas P.', ' Cross N.C.P.', ' Malcovati L.', ' Cazzola M.', ' Hellström-Lindberg E.', ' Ogawa S.', ' Smith C.W.J.', ' Pellagatti A.', ' Boultwood J.']"
2-s2.0-85020178134,"['Wang Y.', ' Peng Z.', ' He Y.']"
2-s2.0-85020189996,['Lee L.M.']
2-s2.0-85020190891,"['Tarca A.L.', ' Fitzgerald W.', ' Chaemsaithong P.', ' Xu Z.', ' Hassan S.S.', ' Grivel J.-C.', ' Gomez-Lopez N.', ' Panaitescu B.', ' Pacora P.', ' Maymon E.', ' Erez O.', ' Margolis L.', ' Romero R.']"
2-s2.0-85020192254,"['Yao Y.', ' Lou M.', ' Yu P.', ' Zhang L.']"
2-s2.0-85020202044,"['Wen Y.', ' Cai J.', ' Hou Y.', ' Huang Z.', ' Wang Z.']"
2-s2.0-85020209039,"['Lin C.-C.', ' Hsu Y.-C.', ' Li Y.-H.', ' Kuo Y.-Y.', ' Hou H.-A.', ' Lan K.-H.', ' Chen T.-C.', ' Tzeng Y.-S.', ' Kuo Y.-Y.', ' Kao C.-J.', ' Chuang P.-H.', ' Tseng M.-H.', ' Chiu Y.-C.', ' Chou W.-C.', ' Tien H.-F.']"
2-s2.0-85020209811,"['Kamble R.', ' Kokare M.', ' Deshmukh G.', ' Hussin F.A.', ' Mériaudeau F.']"
2-s2.0-85020214949,"['Jiang L.', ' Hermeking H.']"
2-s2.0-85020221563,"['Kai L.', ' Cao S.']"
2-s2.0-85020227880,"['Perricone M.', ' Polverelli N.', ' Martinelli G.', ' Catani L.', ' Ottaviani E.', ' Zuffa E.', ' Franchini E.', ' Dizdari A.', ' Forte D.', ' Sabattini E.', ' Cavo M.', ' Vianelli N.', ' Palandri F.']"
2-s2.0-85020227977,"['Abdel-Nabi H.', ' Al-Haj A.']"
2-s2.0-85020245564,"['Guo Q.', ' Chen H.', ' Wang Y.', ' Chen M.', ' Yang S.', ' Xie S.']"
2-s2.0-85020249023,"['Jin D.', ' Lu J.', ' Zhang X.', ' Chen C.', ' Bai E.', ' Saha P.K.']"
2-s2.0-85020251254,"['Nadeem S.A.', ' Jin D.', ' Hoffman E.A.', ' Saha P.K.']"
2-s2.0-85020251464,"['Chen Y.-C.', ' Chen Q.', ' Fan X.']"
2-s2.0-85020254843,"['Tavakoli M.', ' Nazar M.', ' Mehdizadeh A.']"
2-s2.0-85020259925,"['Güngör A.', ' Kopanolu E.', ' Çukur T.', ' Güven H.E.']"
2-s2.0-85020259957,['Maguire G.']
2-s2.0-85020267372,"['Bala S.', ' Sirazitdinova E.', ' Deserno T.M.']"
2-s2.0-85020267427,"['Taheri S.', ' Fevens T.', ' Bui T.D.']"
2-s2.0-85020272981,"['Pinto R.N.', ' Sebastian J.A.', ' Parsons M.', ' Chang T.C.', ' Acker J.P.', ' Kolios M.C.']"
2-s2.0-85020274279,"['Yan J.', ' Jiang L.', ' Li Q.']"
2-s2.0-85020280924,"['Senaras C.', ' Pennell M.', ' Chen W.', ' Sahiner B.', "" Shana'ah A."", ' Louissaint A.', ' Hasserjian R.P.', ' Lozanski G.', ' Gurcan M.N.']"
2-s2.0-85020283069,"['Fricker M.D.', ' Heaton L.L.M.', ' Jones N.S.', ' Boddy L.']"
2-s2.0-85020286912,"['Meyer S.', ' Poryo M.', ' Flotats-Bastardas M.', ' Ebrahimi-Fakhari D.', ' Yilmaz U.']"
2-s2.0-85020287882,"['Oda H.', ' Oda M.', ' Kitasaka T.', ' Akita T.', ' Mori K.']"
2-s2.0-85020295007,"['Chen C.', ' Jin D.', ' Zhang X.', ' Levy S.M.', ' Saha P.K.']"
2-s2.0-85020295514,"['Tang Q.', ' Chen Y.', ' Gale A.G.']"
2-s2.0-85020301051,"['Vyshenska D.', ' Lam K.C.', ' Shulzhenko N.', ' Morgun A.']"
2-s2.0-85020304435,"['Alegre F.', ' Pelegrin P.', ' Feldstein A.E.']"
2-s2.0-85020379514,"['Bian S.', ' Li X.', ' Mainali H.', ' Chen L.', ' Dhaubhadel S.']"
2-s2.0-85020383072,"['Rendana M.', ' Rahim S.A.', ' Idris W.M.R.', ' Lihan T.', ' Rahman Z.A.']"
2-s2.0-85020397777,"['Wei S.-C.', ' Chang T.-A.', ' Chao T.-H.', ' Chen J.-S.', ' Chou J.-W.', ' Chou Y.-H.', ' Chuang C.-H.', ' Hsu W.-H.', ' Huang T.-Y.', ' Hsu T.-C.', ' Lin C.-C.', ' Lin H.-H.', ' Lin J.-K.', ' Lin W.-C.', ' Ni Y.-H.', ' Shieh M.-J.', ' Shih I.-L.', ' Shun C.-T.', ' Tsang Y.-M.', ' Wang C.-Y.', ' Wang H.-Y.', ' Weng M.-T.', ' Wu D.-C.', ' Wu W.-C.', ' Yen H.-H.', ' Wong J.-M.']"
2-s2.0-85020397923,"['Eghbalnia H.R.', ' Markley J.L.']"
2-s2.0-85020399834,"['Vachon E.', ' Miró J.', ' Duong L.']"
2-s2.0-85020403609,"['Kuperavage A.J.', ' Imran A.-A.-Z.', ' Bakic P.R.', ' Maidment A.', ' Pokrajac D.D.']"
2-s2.0-85020405101,"['Kerut E.K.', ' Swan K.W.', ' To F.', ' Giles T.D.', ' Kadowitz P.J.']"
2-s2.0-85020406374,"['Mahmoudi P.', ' Veladi H.', ' Pakdel F.G.']"
2-s2.0-85020412902,"['Rahmes M.', ' Fagan D.', ' Lemieux G.']"
2-s2.0-85020415748,"['Borges L.R.', ' Bakic P.R.', ' Foi A.', ' Maidment A.D.A.', ' Vieira M.A.C.']"
2-s2.0-85020420806,"['Qamra A.', ' Xing M.', ' Padmanabhan N.', ' Kwok J.J.T.', ' Zhang S.', ' Xu C.', ' Leong Y.S.', ' Lim A.P.L.', ' Tang Q.', ' Ooi W.F.', ' Lin J.S.', ' Nandi T.', ' Yao X.', ' Ong X.', ' Lee M.', ' Tay S.T.', ' Keng A.T.L.', ' Santoso E.G.', ' Ng C.C.Y.', ' Ng A.', ' Jusakul A.', ' Smoot D.', ' Ashktorab H.', ' Rha S.Y.', ' Yeoh K.G.', ' Yong W.P.', ' Chow P.K.H.', ' Chan W.H.', ' Ong H.S.', ' Soo K.C.', ' Kim K.-M.', ' Wong W.K.', ' Rozen S.G.', ' Teh B.T.', ' Kappei D.', ' Lee J.', ' Connolly J.', ' Tan P.']"
2-s2.0-85020427152,"['Clark D.P.', ' Badea C.T.']"
2-s2.0-85020430257,"['Johari M.', ' Esmaeili F.', ' Andalib A.', ' Garjani S.', ' Saberkari H.']"
2-s2.0-85020450231,"['Bostock M.J.', ' Holland D.J.', ' Nietlispach D.']"
2-s2.0-85020473170,"['Liu Y.', ' Qi X.', ' Zeng Z.', ' Wang L.', ' Wang J.', ' Zhang T.', ' Xu Q.', ' Shen C.', ' Zhou G.', ' Yang S.', ' Chen X.', ' Lu F.']"
2-s2.0-85020479365,"['Jacobsen J.A.', ' Woodard J.', ' Mandal M.', ' Clark M.R.', ' Bartom E.T.', ' Sigvardsson M.', ' Kee B.L.']"
2-s2.0-85020479863,"['García E.', ' Oliver A.', ' Diaz O.', ' Diez Y.', ' Gubern-Mérida A.', ' Martí R.', ' Martí J.']"
2-s2.0-85020481890,"['Mayer J.', ' Sauppe S.', ' Rank C.M.', ' Sawall S.', ' Kachelrieß M.']"
2-s2.0-85020547194,"['Dusinska M.', ' Rundén-Pran E.', ' Schnekenburger J.', ' Kanno J.']"
2-s2.0-85020547294,"['Livan G.', ' Caccioli F.', ' Aste T.']"
2-s2.0-85020552881,"['Cardoso L.F.', ' Sorenson S.B.']"
2-s2.0-85020619331,"['Seelig D.M.', ' Avery A.C.', ' Ehrhart E.J.', ' Linden M.A.']"
2-s2.0-85020649208,"['Mostmans Y.', ' Cutolo M.', ' Giddelo C.', ' Decuman S.', ' Melsens K.', ' Declercq H.', ' Vandecasteele E.', ' De Keyser F.', ' Distler O.', ' Gutermuth J.', ' Smith V.']"
2-s2.0-85020656395,['Salgues B.']
2-s2.0-85020658034,"['Roznowski J.', ' Fortuna T.', ' Nowak K.', ' Szuba E.']"
2-s2.0-85020663461,"['Akkus Z.', ' Ali I.', ' Sedlář J.', ' Agrawal J.P.', ' Parney I.F.', ' Giannini C.', ' Erickson B.J.']"
2-s2.0-85020666430,"['Gao Q.', ' Wang K.', ' Chen K.', ' Liang L.', ' Zheng Y.', ' Zhang Y.', ' Xiang J.', ' Tang N.']"
2-s2.0-85020704247,"['Trombetta A.C.', ' Smith V.', ' Gotelli E.', ' Ghio M.', ' Paolino S.', ' Pizzorni C.', ' Vanhaecke A.', ' Ruaro B.', ' Sulli A.', ' Cutolo M.']"
2-s2.0-85020708573,"['Wandler A.', ' Riber-Hansen R.', ' Hager H.', ' Hamilton-Dutoit S.J.', ' Schmidt H.', ' Nielsen B.S.', ' Stougaard M.', ' Steiniche T.']"
2-s2.0-85020713461,"['Gewirtz-Meydan A.', ' Ayalon L.']"
2-s2.0-85020717584,"['Moore E.M.', ' Aggarwal N.', ' Surti U.', ' Swerdlow S.H.']"
2-s2.0-85020718436,"['Waterfield B.', ' Whelan E.']"
2-s2.0-85020719762,"['Fu Z.', ' Lin L.', ' Tian M.', ' Wang J.', ' Zhang B.', ' Chu P.', ' Li S.', ' Pathan M.M.', ' Deng Y.', ' Wu S.']"
2-s2.0-85020728317,"['David M.', ' Levy E.', ' Feldman Y.', ' Ben Ishai P.', ' Zelig O.', ' Yedgar S.', ' Barshtein G.']"
2-s2.0-85020737586,"['Al-Bander B.', ' Al-Nuaimy W.', ' Al-Taee M.A.', ' Al-Ataby A.', ' Zheng Y.']"
2-s2.0-85020826998,['Eggermont J.J.']
2-s2.0-85020848196,"['Huang F.', ' Dang Z.', ' Zhang H.', ' Yagi K.', ' Kim K.', ' Joseph M.', ' Pu W.', ' Oku Y.']"
2-s2.0-85020852962,"['Blättel-Mink B.', ' Boddenberg M.', ' Gunkel L.', ' Schmitz S.', ' Vaessen F.']"
2-s2.0-85020867625,"['Latif A.', ' Carter T.', ' Rychwalska-Brown L.', ' Wharrad H.', ' Manning J.']"
2-s2.0-85020882897,"['Rajan P.I.', ' Mahalakshmi S.', ' Chandra S.']"
2-s2.0-85020892250,"['Franco B.E.', ' Ma J.', ' Loveall B.', ' Tapia G.A.', ' Karayagiz K.', ' Liu J.', ' Elwany A.', ' Arroyave R.', ' Karaman I.']"
2-s2.0-85020899028,"['González-López A.', ' Campos-Morcillo P.']"
2-s2.0-85020899945,"['Zhao C.', ' Fezzaa K.', ' Cunningham R.W.', ' Wen H.', ' De Carlo F.', ' Chen L.', ' Rollett A.D.', ' Sun T.']"
2-s2.0-85020906335,['Zavros Y.']
2-s2.0-85020954561,['Popkin B.M.']
2-s2.0-85020962822,"['Halvorsen R.', ' Waldschmidt A.', ' Hvinden B.', ' Bøhler K.K.']"
2-s2.0-85021047298,"['Nurmi J.', ' Kaskela T.', ' Perälä J.', ' Oksanen A.']"
2-s2.0-85021082035,['Kjeldsen E.']
2-s2.0-85021084995,"['Henderson C.A.', ' Gomez C.G.', ' Novak S.M.', ' Mi-Mi L.', ' Gregorio C.C.']"
2-s2.0-85021086831,"['Bejdová Š.', ' Dupej J.', ' Krajíček V.', ' Velemínská J.', ' Velemínský P.']"
2-s2.0-85021091121,"['Micheletti R.', ' Plaisance I.', ' Abraham B.J.', ' Sarre A.', ' Ting C.C.', ' Alexanian M.', ' Maric D.', ' Maison D.', ' Nemir M.', ' Young R.A.', ' Schroen B.', ' González A.', ' Ounzain S.', ' Pedrazzini T.']"
2-s2.0-85021097596,"['Levin M.', ' Pezzulo G.', ' Finkelstein J.M.']"
2-s2.0-85021139681,"['Lauger T.R.', ' Densley J.A.']"
2-s2.0-85021155092,"['Jorgensen P.', ' Tian F.']"
2-s2.0-85021159187,"['Liu S.', ' Liu P.', ' Li Z.', ' Zhang Y.', ' Li W.', ' Tang X.']"
2-s2.0-85021181022,"['Jörger A.', ' Acevedo C.', ' Busley D.', ' Ganter M.', ' Schmiedl A.', ' Humann-Ziehank E.']"
2-s2.0-85021191932,"['Adebayo B.', ' Durey A.', ' Slack-Smith L.M.']"
2-s2.0-85021197691,"['Singh M.P.', ' Rai S.', ' Suyal S.', ' Singh S.K.', ' Singh N.K.', ' Agarwal A.', ' Srivastava S.']"
2-s2.0-85021234855,"['Zhu G.', ' Li G.', ' Zhang M.', ' Zhao S.', ' Wang T.', ' Wei Y.', ' Xue Y.']"
2-s2.0-85021246061,"['Lessard L.', ' Michalowski W.', ' Fung-Kee-Fung M.', ' Jones L.', ' Grudniewicz A.']"
2-s2.0-85021271816,"['Welton N.J.', ' McAleenan A.', ' Thom H.H.Z.', ' Davies P.', ' Hollingworth W.', ' Higgins J.P.T.', ' Okoli G.', ' Sterne J.A.C.', ' Feder G.', ' Eaton D.', ' Hingorani A.', ' Fawsitt C.', ' Lobban T.', ' Bryden P.', ' Richards A.', ' Sofat R.']"
2-s2.0-85021272767,"['Johnson R.E.', ' Kording K.P.', ' Hargrove L.J.', ' Sensinger J.W.']"
2-s2.0-85021274809,"['Kell D.B.', ' Kenny L.C.']"
2-s2.0-85021284747,"[""D'Amico M."", ' Kinel E.', ' Roncoletta P.']"
2-s2.0-85021290246,"['Mari-Alexandre J.', ' Diaz-Lagares A.', ' Villalba M.', ' Juan O.', ' Crujeiras A.B.', ' Calvo A.', ' Sandoval J.']"
2-s2.0-85021307417,"['Sai K.K.S.', ' Sattiraju A.', ' Almaguel F.G.', ' Xuan A.', ' Rideout S.', ' Krishnaswamy R.S.', ' Zhang J.', ' Herpai D.M.', ' Debinski W.', ' Mintz A.']"
2-s2.0-85021308516,"['Mordang J.-J.', ' Gubern-Mérida A.', ' Bria A.', ' Tortorella F.', ' Den Heeten G.', ' Karssemeijer N.']"
2-s2.0-85021322781,"['Park S.', ' Moon J.']"
2-s2.0-85021330668,"['Reggiani Bonetti L.', ' Lionti S.', ' Domati F.', ' Pagliani G.', ' Mattioli E.', ' Barresi V.']"
2-s2.0-85021331650,['Kasemsap K.']
2-s2.0-85021337694,"['Schutz K.M.', ' Hoffman J.V.']"
2-s2.0-85021342741,"['Ordonez T.N.', ' Borges F.', ' Kanashiro C.S.', ' Santos C.C.N.', ' Hora S.S.', ' Lima-Silva T.B.']"
2-s2.0-85021344974,"['Harmsen C.A.', ' Royle R.N.']"
2-s2.0-85021354078,"['Mancuso M.R.', ' Neal J.W.']"
2-s2.0-85021364421,"['Devi N.', ' Chatni S.', ' Ramadevi K.J.S.', ' Fakruddin D.B.']"
2-s2.0-85021393012,"['Rustad E.H.', ' Coward E.', ' Skytøen E.R.', ' Misund K.', ' Holien T.', ' Standal T.', ' Børset M.', ' Beisvag V.', ' Myklebost O.', ' Meza-Zepeda L.A.', ' Dai H.Y.', ' Sundan A.', ' Waage A.']"
2-s2.0-85021398286,"['Tsuji M.', ' Ishida F.', ' Furukawa K.', ' Miura Y.', ' Sano T.', ' Shiba M.', ' Tanemura H.', ' Umeda Y.', ' Yasuda R.', ' Toma N.', ' Shimosaka S.', ' Suzuki H.']"
2-s2.0-85021404722,"['Shrestha R.', ' Giri S.', ' Armitage J.O.', ' Bhatt V.R.']"
2-s2.0-85021433274,"['Klyuzhin I.S.', ' Sossi V.']"
2-s2.0-85021451618,"['Riva N.', ' Ageno W.']"
2-s2.0-85021625699,"['Ge F.', ' Huang X.', ' Hu H.', ' Zhang Y.', ' Li Z.', ' Zou C.', ' Peng H.', ' Li L.', ' Gao S.', ' Pan G.', ' Shen Y.']"
2-s2.0-85021639361,"['Carlisle A.', ' Selwood L.', ' Hinds L.A.', ' Saunders N.', ' Habgood M.', ' Mardon K.', ' Weisbecker V.']"
2-s2.0-85021643233,"['Lynch R.C.', ' Gratzinger D.', ' Advani R.H.']"
2-s2.0-85021647784,"['Roy S.', ' Pal A.K.']"
2-s2.0-85021648183,"['Qiao L.', ' Chen X.', ' Zhang Y.', ' Zhang J.', ' Wu Y.', ' Li Y.', ' Mo X.', ' Chen W.', ' Xie B.', ' Qiu M.']"
2-s2.0-85021681608,"['Salemi L.M.', ' Maitland M.E.R.', ' Yefet E.R.', ' Schild-Poulter C.']"
2-s2.0-85021689326,"['Daley-Brown D.', ' Oprea-Iles G.', ' Vann K.T.', ' Lanier V.', ' Lee R.', ' Candelaria P.V.', ' Quarshie A.', ' Pattillo R.', ' Gonzalez-Perez R.R.']"
2-s2.0-85021698808,"['Vo K.K.', ' Jarocha D.J.', ' Lyde R.B.', ' Hayes V.', ' Thom C.S.', ' Sullivan S.K.', ' French D.L.', ' Poncz M.']"
2-s2.0-85021707773,"['Mohd Sagheer S.V.', ' George S.N.']"
2-s2.0-85021713717,"['Brennan C.', ' Sourdin T.', ' Williams J.', ' Burstyner N.', ' Gill C.']"
