pmid,authors
2-s2.0-84894252395,"['Fu Y.', ' Schroeder T.', ' Zabelina T.', ' Badbaran A.', ' Bacher U.', ' Kobbe G.', ' Ayuk F.', ' Wolschke C.', ' Schnittger S.', ' Kohlmann A.', ' Haferlach T.', ' Kröger N.']"
2-s2.0-84894255888,"['Liu L.-P.', ' Xu A.-D.', ' Wong L.K.S.', ' Wang D.Z.', ' Wang Y.-J.']"
2-s2.0-84894259718,"['Ratterman M.', ' Kruczek K.', ' Sulo S.', ' Shanafelt T.D.', ' Kay N.E.', ' Nabhan C.']"
2-s2.0-84894262845,"['Pawlak E.A.', ' Geor R.J.', ' Watts M.R.', ' Black S.J.', ' Johnson P.J.', ' Belknap J.K.']"
2-s2.0-84894268248,"['Hariharan M.', ' Polat K.', ' Sindhu R.']"
2-s2.0-84894285200,"['Daqrouq K.', ' Alkhateeb A.', ' Ajour M.N.', ' Morfeq A.']"
2-s2.0-84894319841,"['Chen Y.', ' Wang T.-T.', ' Gao Y.', ' Li T.-J.']"
2-s2.0-84894518924,"['Kurochkin M.A.', ' Fedosov I.V.', ' Tuchin V.V.']"
2-s2.0-84894559169,"['Takeda T.', ' Itoi O.', ' Takagi H.', ' Tsubakimoto S.']"
2-s2.0-84894619648,['Porter-Oêgrady T.']
2-s2.0-84894665710,['Jasmin M.']
2-s2.0-84894714440,"['Roberts B.C.', ' Perilli E.', ' Reynolds K.J.']"
2-s2.0-84895900452,"['Shrager J.', ' Tenenbaum J.M.']"
2-s2.0-84896090972,"['Xu G.', ' Strong M.J.', ' Lacey M.R.', ' Baribault C.', ' Flemington E.K.', ' Taylor C.M.']"
2-s2.0-84896333237,"['Delibasis K.K.', ' Asvestas P.A.', ' Kechriniotis A.I.', ' Matsopoulos G.K.']"
2-s2.0-84896498492,"['Buchhaupt M.', ' Sharma S.', ' Kellner S.', ' Oswald S.', ' Paetzold M.', ' Peifer C.', ' Watzinger P.', ' Schrader J.', ' Helm M.', ' Entian K.-D.']"
2-s2.0-84896512302,"['Kastis G.A.', ' Kyriakopoulou D.', ' Gaitanis A.', ' Fernández Y.', ' Hutton B.F.', ' Fokas A.S.']"
2-s2.0-84896689570,"['Balko J.M.', ' Giltnane J.M.', ' Wang K.', ' Schwarz L.J.', ' Young C.D.', ' Cook R.S.', ' Owens P.', ' Sanders M.E.', ' Kuba M.G.', ' Sánchez V.', ' Kurupi R.', ' Moore P.D.', ' Pinto J.A.', ' Doimi F.D.', ' Gómez H.', ' Horiuchi D.', ' Goga A.', ' Lehmann B.D.', ' Bauer J.A.', ' Pietenpol J.A.', ' Ross J.S.', ' Palmer G.A.', ' Yelensky R.', ' Cronin M.', ' Miller V.A.', ' Stephens P.J.', ' Arteaga C.L.']"
2-s2.0-84896690908,"['Koyano Y.', ' Nakagami G.', ' Iizaka S.', ' Minematsu T.', ' Noguchi H.', ' Tamai N.', ' Mugita Y.', ' Kitamura A.', ' Tabata K.', ' Abe M.', ' Murayama R.', ' Sugama J.', ' Sanada H.']"
2-s2.0-84896702543,"['Kelty C.', ' Panofsky A.']"
2-s2.0-84896720132,"['Barbeau B.', ' Hiscott J.', ' Bazarbachi A.', ' Carvalho E.', ' Jones K.', ' Martin F.', ' Matsuoka M.', ' Murphy E.L.', ' Ratner L.', ' Switzer W.M.', ' Watanabe T.']"
2-s2.0-84896727794,"['McLaughlin N.', ' Afsar-Manesh N.', ' Ragland V.', ' Buxey F.', ' Martin N.A.']"
2-s2.0-84896730169,"['Nikolaishvilli-Feinberg N.', ' Cohen S.M.', ' Midkiff B.', ' Zhou Y.', ' Olorvida M.', ' Ibrahim J.G.', ' Omolo B.', ' Shields J.M.', ' Thomas N.E.', ' Groben P.A.', ' Kaufmann W.K.', ' Miller C.R.']"
2-s2.0-84896731339,"['Feng D.', ' Liang D.', ' Tierney L.']"
2-s2.0-84896740281,"['Murray P.R.', ' Thomson S.L.', ' Smith M.E.']"
2-s2.0-84896764392,"['Pyne J.D.', ' Genovese K.', ' Casaletto L.', ' Geest J.P.V.']"
2-s2.0-84896815074,"['Sun X.', ' Wang K.', ' Yu X.', ' Liu J.', ' Zhang H.', ' Zhou F.', ' Xie B.', ' Li S.']"
2-s2.0-84896822967,"['Bongers G.', ' Pacer M.E.', ' Geraldino T.H.', ' Chen L.', ' He Z.', ' Hashimoto D.', ' Furtado G.C.', ' Ochando J.', ' Kelley K.A.', ' Clemente J.C.', ' Merad M.', ' Van Bakel H.', ' Lira S.A.']"
2-s2.0-84896967586,"['Martis R.J.', ' Acharya U.R.', ' Adeli H.']"
2-s2.0-84897099863,"['Dakin S.G.', ' Dudhia J.', ' Smith R.K.W.']"
2-s2.0-84897392146,"['Schut A.G.T.', ' Wardell-Johnson G.W.', ' Yates C.J.', ' Keppel G.', ' Baran I.', ' Franklin S.E.', ' Hopper S.D.', ' Van Niel K.P.', ' Mucina L.', ' Byrne M.']"
2-s2.0-84897412458,"['Garcia-Torres L.', ' Caballero-Novella J.J.', ' Goḿez-Candón D.', ' De-Castro A.I.']"
2-s2.0-84897477072,"['Yan L.', ' Gu Y.-H.', ' Tao X.', ' Lai X.-J.', ' Zhang Y.-Z.', ' Tan X.-M.', ' Wang H.']"
2-s2.0-84897531985,"['Luo M.-X.', ' Xu G.', ' Chen X.-B.', ' Yang Y.-X.', ' Wang X.']"
2-s2.0-84897558053,"['Brassey C.A.', ' Sellers W.I.']"
2-s2.0-84897606908,"['Trabuco M.H.', ' Costa M.V.C.', ' De Oliveira Nascimento F.A.']"
2-s2.0-84897772346,"['Zhong D.', ' Gu J.', ' Tong D.']"
2-s2.0-84897795566,"['Fonji S.F.', ' Taff G.N.']"
2-s2.0-84897801649,"['Saraf P.A.', ' Kamat S.', ' Puranik R.S.', ' Puranik S.', ' Saraf S.P.', ' Singh B.P.']"
2-s2.0-84897819059,"['Thooyamani K.P.', ' Khanaa V.', ' Udayakumar R.']"
2-s2.0-84897889652,"['Rivilla-García J.', ' Sillero M.', ' Grande I.', ' Sampedro J.', ' Gómez M.A.']"
